I1,I2,I3,T1,T2,T3,Avarage,Rms,Kurtosis,Skewness,Category
0.11545,0.62273,0.37182,1.16543,1.36235,0.70062,5.79824,4.51133,-1.82509,5.35827,欠压 200V
0.11727,0.52636,0.36909,1.1642,1.36049,0.71173,5.80111,4.4839,-1.83087,5.39397,欠压 200V
0.10182,0.59545,0.37091,1.16667,1.36358,0.7179,5.79486,4.50717,-1.82606,5.36332,欠压 200V
0.12182,0.54455,0.36909,1.16667,1.35926,0.71667,5.7931,4.50448,-1.82577,5.36353,欠压 200V
0.10273,0.59636,0.37182,1.16358,1.36049,0.71543,5.79361,4.51321,-1.81687,5.35349,欠压 200V
0.10455,0.52727,0.34545,1.28519,1.53395,0.84383,6.52446,5.81811,-1.75818,5.16763,正常 220V
0.09364,0.53091,0.34455,1.27716,1.53025,0.83704,6.51906,5.80317,-1.7591,5.17226,正常 220V
0.10818,0.53091,0.34545,1.2784,1.53148,0.82407,6.51755,5.79051,-1.76322,5.18372,正常 220V
0.10727,0.53091,0.34455,1.28086,1.53025,0.83395,6.51462,5.78498,-1.76642,5.19288,正常 220V
0.10455,0.57,0.34727,1.27963,1.53025,0.84074,6.50752,5.77278,-1.76267,5.18132,正常 220V
0.09727,0.59091,0.34818,1.28086,1.52839,0.84506,6.50443,5.75942,-1.76878,5.20075,正常 220V
0.10818,0.57364,0.34545,1.2784,1.52963,0.83704,6.49928,5.75132,-1.76792,5.20229,正常 220V
0.09818,0.63364,0.34818,1.27593,1.52963,0.8463,6.4933,5.73936,-1.76816,5.20457,正常 220V
0.10364,0.54091,0.34636,1.27593,1.52716,0.82469,6.49129,5.74477,-1.77613,5.2341,正常 220V
0.09091,0.55545,0.34909,1.27407,1.52407,0.83395,6.49092,5.72067,-1.77374,5.22453,正常 220V
0.10727,0.58636,0.34818,1.27407,1.52716,0.84074,6.48098,5.71005,-1.77197,5.21785,正常 220V
0.09455,0.53182,0.34636,1.2716,1.52284,0.84321,6.47942,5.67343,-1.77311,5.23543,正常 220V
0.10182,0.55273,0.34727,1.2716,1.52099,0.83889,6.47272,5.70106,-1.76749,5.20502,正常 220V
0.10909,0.57455,0.34636,1.2716,1.52099,0.84568,6.47644,5.68928,-1.7803,5.24305,正常 220V
0.10636,0.51545,0.34909,1.27346,1.52099,0.84012,6.47238,5.68546,-1.78071,5.24515,正常 220V
0.09909,0.50818,0.35,1.2716,1.51975,0.83333,6.46969,5.66907,-1.78289,5.25225,正常 220V
0.09727,0.56273,0.34909,1.27716,1.51914,0.84938,6.46339,5.65834,-1.78354,5.25453,正常 220V
0.10182,0.52455,0.34909,1.26914,1.5179,0.84383,6.45842,5.65625,-1.77954,5.24198,正常 220V
0.10455,0.54636,0.35091,1.2679,1.5142,0.84568,6.45438,5.66478,-1.7886,5.28048,正常 220V
0.10273,0.54,0.35,1.26914,1.5142,0.84506,6.45242,5.63867,-1.78328,5.25283,正常 220V
0.11182,0.54909,0.34909,1.26667,1.51358,0.82778,6.44428,5.63824,-1.7755,5.23113,正常 220V
0.10818,0.58727,0.35091,1.2679,1.5142,0.8358,6.44248,5.62448,-1.78161,5.24967,正常 220V
