PCA1,PCA2,Category
1.399224468,1.302618964,线圈卡涩
1.356023588,1.333059402,线圈卡涩
1.374730891,1.334714828,线圈卡涩
1.35113124,1.330150286,线圈卡涩
1.329741773,1.341996826,线圈卡涩
1.31715076,1.349921518,线圈卡涩
1.384947473,1.296456377,线圈卡涩
1.335221943,1.331131367,线圈卡涩
1.376378139,1.309180026,线圈卡涩
1.353064543,1.29008681,线圈卡涩
1.351373559,1.292577364,线圈卡涩
1.282787987,1.336000949,线圈卡涩
1.28459283,1.341254957,线圈卡涩
1.312731162,1.337991671,线圈卡涩
1.328007319,1.317839872,线圈卡涩
1.306100013,1.33495591,线圈卡涩
1.27580497,1.393264282,线圈卡涩
1.293446875,1.319592066,线圈卡涩
1.269757212,1.350324085,线圈卡涩
1.256727129,1.35437638,线圈卡涩
1.259724672,1.347055333,线圈卡涩
1.257433477,1.345634905,线圈卡涩
1.248908373,1.35361792,线圈卡涩
1.262809372,1.281570362,线圈卡涩
1.24306161,1.352203668,线圈卡涩
1.220065706,1.366122844,线圈卡涩
1.219855593,1.364197759,线圈卡涩
1.224990671,1.346860991,线圈卡涩
